,attraction_names,address,category,rating,num_reviews,suggested_duration(hr),main_category,sub_cat1,sub_cat2
0,Stanley Park,"Stanley Park Causeway, Vancouver, British Columbia V6G 1Z4 Canada",['Parks'],4.5,29062,3,Parks,,
1,Granville Island,,"['Neighbourhoods ', ' Points of Interest & Landmarks ', ' Islands']",4.5,19830,2,Neighbourhoods , Points of Interest & Landmarks , Islands
2,Vancouver Aquarium,"845 Avison Way, Stanley Park, Vancouver, British Columbia V6G 3E2 Canada",['Aquariums'],4.5,8522,2,Aquariums,,
3,Queen Elizabeth Park,"4600 Cambie St, Vancouver, British Columbia V5Y 2M4 Canada","['Parks ', ' Gardens']",4.5,2367,2,Parks , Gardens,
4,VanDusen Botanical Garden,"5251 Oak St, Vancouver, British Columbia V6M 4H1 Canada",['Gardens'],4.5,2077,3,Gardens,,
5,Granville Island Public Market,"1689 Johnston St., Vancouver, British Columbia V6H 3S3 Canada",['Flea & Street Markets'],4.5,1968,,Flea & Street Markets,,
6,Museum of Anthropology,"6393 North West Marine Dr., Vancouver, British Columbia V6T 1Z2 Canada","['Art Galleries ', ' Speciality Museums ', ' Art Museums']",4.5,3820,3,Art Galleries , Speciality Museums , Art Museums
7,Vancouver Seawall,"Stanley Park, Vancouver, British Columbia V6G 3E2 Canada",['Geologic Formations'],5.0,5097,,Geologic Formations,,
8,FlyOver Canada,"201-999 Canada Place, Vancouver, British Columbia V6C 3E1 Canada",['Rides & Activities'],4.5,5867,2,Rides & Activities,,
9,Vancouver Downtown,,['Neighbourhoods'],4.5,6606,,Neighbourhoods,,
10,Vancouver Lookout,"555 West Hastings Street, Vancouver, British Columbia V6B 4N6 Canada","['Points of Interest & Landmarks ', ' Observation Decks & Towers']",4.5,2354,,Points of Interest & Landmarks , Observation Decks & Towers,
11,The Aquabus,"1550 Johnston Street, Vancouver, British Columbia V6H 3R9 Canada",['Ferries'],4.5,2622,2,Ferries,,
12,Bloedel Conservatory,"4600 Cambie Street Queen Elizabeth Park, Vancouver, British Columbia V5Y 2M4 Canada","['Architectural Buildings ', ' Nature & Wildlife Areas ', ' Gardens']",4.5,840,,Architectural Buildings , Nature & Wildlife Areas , Gardens
13,Science World,"1455 Quebec St, Vancouver, British Columbia V6A 3Z7 Canada","['Science Museums ', "" Children's Museums""]",4.0,1398,3,Science Museums , Children's Museums,
14,English Bay,"1795 Beach Ave, Vancouver, British Columbia V6G 1Y9 Canada",['Bodies of Water'],4.5,2811,,Bodies of Water,,
15,Canada Place,"Canada Place Building 780-999 Canada Pl, Vancouver, British Columbia V6C 3C1 Canada",['Convention Centres'],4.5,2745,,Convention Centres,,
16,Gastown,"Waterfront between Granville and Main Sts. North of Hastings St., Vancouver, British Columbia V6B 2K7 Canada",['Neighbourhoods'],4.0,6038,,Neighbourhoods,,
17,False Creek,,['Bodies of Water'],4.5,1074,,Bodies of Water,,
18,Kitsilano Beach,,['Beaches'],4.5,800,,Beaches,,
19,University of British Columbia,"6163 University Boulevard UBC Welcome Centre - Robert H. Lee Alumni Centre, Vancouver, British Columbia V6T 1Z1 Canada",['Educational sites'],4.5,553,,Educational sites,,
20,Rogers Arena,"800 Griffiths Way, Vancouver, British Columbia V6B 6G1 Canada",['Arenas & Stadiums'],4.5,691,3,Arenas & Stadiums,,
21,Vancouver Public Library (Central Library Branch),"340 West Georgia St, Vancouver, British Columbia V6B 6B1 Canada",['Libraries'],4.5,1296,,Libraries,,
22,Marine Building,"355 Burrard Street, Vancouver, British Columbia V6C 2G8 Canada",['Architectural Buildings'],4.5,469,,Architectural Buildings,,
23,English Bay Beach,"1795 Beach Ave West End, Vancouver, British Columbia V6G 1Y9 Canada",['Beaches'],4.5,524,,Beaches,,
24,Steam Clock,"305 Water St, Vancouver, British Columbia V6B 1B8 Canada",['Points of Interest & Landmarks'],4.0,1700,,Points of Interest & Landmarks,,
25,Brockton Point Totem Pole,,"['Points of Interest & Landmarks ', ' Monuments & Statues']",4.5,1277,,Points of Interest & Landmarks , Monuments & Statues,
26,Spanish Banks,"4707 Marine Dr NW, Vancouver, British Columbia V6T 1A1 Canada",['Beaches'],4.5,513,2,Beaches,,
27,Vancouver Convention Centre,"1055 Canada Pl, Vancouver, British Columbia V6C 0C3 Canada",['Convention Centres'],4.5,758,,Convention Centres,,
28,Lions Gate Bridge,,['Bridges'],4.0,992,,Bridges,,
29,Robson Street,,['Points of Interest & Landmarks'],4.0,1596,,Points of Interest & Landmarks,,
30,Pacific Spirit Regional Park,"4915 W. 16th Ave., Vancouver, British Columbia V6T 2C9 Canada",['Parks'],4.5,322,,Parks,,
31,Kitsilano Pool,"2305 Cornwall Ave, Vancouver, British Columbia V6K 1B6 Canada",['Water Parks'],4.5,331,,Water Parks,,
32,Jericho Beach,"1515 Discovery St, Vancouver, British Columbia V6R 4K5 Canada",['Beaches'],4.5,368,,Beaches,,
33,Bill Reid Gallery,"639 Hornby St, Vancouver, British Columbia V6C 2G3 Canada",['Art Galleries'],4.5,406,2,Art Galleries,,
34,Yaletown,"200-1226 Hamilton St, Vancouver, British Columbia V6B 2S8 Canada","['Historic Sites ', ' Neighbourhoods']",4.0,656,3,Historic Sites , Neighbourhoods,
35,B.C. Place Stadium,"777 Pacific Blvd, Vancouver, British Columbia V6B 4Y8 Canada",['Arenas & Stadiums'],4.5,570,,Arenas & Stadiums,,
36,Dr. Sun Yat-Sen Classical Chinese Garden,"578 Carrall St Chinatown, Vancouver, British Columbia V6B 5K2 Canada","['Architectural Buildings ', ' Gardens']",4.0,1570,2,Architectural Buildings , Gardens,
37,Wreck Beach,"6344 University Blvd (Foot of Spanish Banks), Vancouver, British Columbia V6T 1Z2 Canada",['Beaches'],4.0,285,2,Beaches,,
38,A-maze-ing Laughter,,['Monuments & Statues'],4.5,370,,Monuments & Statues,,
39,The Liberty Distillery,"1494 Old Bridge St Granville Island, Vancouver, British Columbia V6H 3S6 Canada",['Distilleries'],4.5,210,2,Distilleries,,
40,Nitobe Memorial Garden,"1895 Lower Mall, Vancouver, British Columbia V6T 1Z4 Canada",['Gardens'],4.5,357,,Gardens,,
41,Canada Line,,['Public Transportation Systems'],4.5,330,,Public Transportation Systems,,
42,UBC Botanical Garden,"6804 SW Marine Drive, Vancouver, British Columbia V6T 1Z4 Canada",['Gardens'],4.0,425,2,Gardens,,
43,Vancouver Visitor Centre,"200 Burrard St Suite 210, Vancouver, British Columbia V6C 3L6 Canada",['Visitor Centres'],4.5,341,,Visitor Centres,,
44,Vancouver Maritime Museum,"1905 Ogden Ave, Vancouver, British Columbia V6J 1A3 Canada",['Speciality Museums'],4.0,299,2,Speciality Museums,,
45,Granville Island Brewing,"1441 Cartwright St, Vancouver, British Columbia V6H 3R7 Canada",['Breweries'],4.0,666,,Breweries,,
46,Orpheum Theatre,"601 Smithe St Alternate entrance at 884 Granville Street, Vancouver, British Columbia V6B 5G1 Canada",['Theatres'],4.5,299,,Theatres,,
47,Vancouver Art Gallery,"750 Hornby St, Vancouver, British Columbia V6Z 2H7 Canada","['Art Galleries ', ' Art Museums']",3.5,1264,,Art Galleries , Art Museums,
48,Waterfront Station,"601 Cordova St W, Vancouver, British Columbia V6B 1G1 Canada","['Points of Interest & Landmarks ', ' Architectural Buildings']",4.0,189,3,Points of Interest & Landmarks , Architectural Buildings,
49,Library Square,"350 Georgia St W, Vancouver, British Columbia V6B 6B1 Canada",['Points of Interest & Landmarks'],4.5,270,,Points of Interest & Landmarks,,
50,Commercial Drive,"1726 Commercial Drive Broadway Skytrain Access, Vancouver, British Columbia V5N 4A3 Canada",['Neighbourhoods'],4.0,309,3,Neighbourhoods,,
51,Scotiabank Field at Nat Bailey Stadium,"4601 Ontario St, Vancouver, British Columbia V5V 3H4 Canada",['Arenas & Stadiums'],4.5,203,,Arenas & Stadiums,,
52,Vancouver ChinaTown,"106 Keefer St, Vancouver, British Columbia V6A 1X4 Canada",['Neighbourhoods'],2.5,928,,Neighbourhoods,,
53,Cathedral of Our Lady of the Holy Rosary,"646 Richards St, Vancouver, British Columbia V6B 3A3 Canada",['Religious Sites'],4.5,195,,Religious Sites,,
54,Third Beach,,['Beaches'],4.5,205,,Beaches,,
55,Christ Church Cathedral,"690 Burrard St (At Georgia St.), Vancouver, British Columbia V6C 2L1 Canada",['Religious Sites'],4.5,126,,Religious Sites,,
56,Queen Elizabeth Theatre,,['Theatres'],4.0,206,,Theatres,,
57,Sunset Beach,"1204 Beach Ave, Vancouver, British Columbia V6E 1V3 Canada",['Beaches'],4.5,140,,Beaches,,
58,Pacific Central Station,"1150 Station St, Vancouver, British Columbia V6A 4C7 Canada",['Architectural Buildings'],3.5,243,,Architectural Buildings,,
59,CF Pacific Centre,"701 West Georgia Street, Vancouver, British Columbia V7Y 1G5 Canada",['Shopping Malls'],4.0,260,,Shopping Malls,,
60,Celebration of Light,"English Bay Beach Park, Vancouver, British Columbia BC V6E 1V3 Canada",['Seasonal Fireworks'],4.5,54,,Seasonal Fireworks,,
61,Museum of Vancouver,"1100 Chestnut St at Vanier Park, Vancouver, British Columbia V6J 3J9 Canada","['Speciality Museums ', ' History Museums']",4.0,311,2,Speciality Museums , History Museums,
62,Parq Vancouver,"39 Smithe St Parq Vancouver, Vancouver, British Columbia V6B 0R3 Canada",['Casinos'],3.5,125,3,Casinos,,
63,PNE - Pacific National Exhibition,"2901 Hastings St E, Vancouver, British Columbia V5K 5J1 Canada",['Amusement & Theme Parks'],3.5,225,,Amusement & Theme Parks,,
64,Roedde House Museum,"1415 Barclay Street, Vancouver, British Columbia V6G 1J6 Canada",['History Museums'],4.5,80,2,History Museums,,
65,Coal Harbour Marina,"1525 Coal Harbour Quay, Vancouver, British Columbia V6G 3E7 Canada",['Marinas'],4.5,64,,Marinas,,
66,Olympic Cauldron,"1055 Canada Pl, Vancouver, British Columbia V6C 0C3 Canada",['Monuments & Statues'],4.0,98,,Monuments & Statues,,
67,Olympic Village,"1 Athletes Way, Vancouver, British Columbia V5Y 0B1 Canada",['Points of Interest & Landmarks'],4.0,90,,Points of Interest & Landmarks,,
68,Vancouver Police Museum & Archives,"240 Cordova St E Gastown, Vancouver, British Columbia V6A 1L3 Canada",['Speciality Museums'],4.0,221,,Speciality Museums,,
69,Theatre under the Stars,,['Theatres'],4.5,103,3,Theatres,,
70,St Mark's summit,,['Hiking Trails'],5.0,10,,Hiking Trails,,
71,David Lam Park,"1300 Pacific Blvd, Vancouver, British Columbia V6Z 0A9 Canada",['Parks'],4.5,36,2,Parks,,
72,Brockton Point Lighthouse,"Stanley Park Rd, Vancouver, British Columbia V6G 3E2 Canada",['Lighthouses'],4.0,81,,Lighthouses,,
73,Waterfront Centre,,['Shopping Malls'],4.0,22,2,Shopping Malls,,
74,Vanier Park,"1100 Chestnut St, Vancouver, British Columbia V6J 3J9 Canada",['Parks'],4.5,71,,Parks,,
75,Harbour Green Park,"1199 Cordova St W, Vancouver, British Columbia V6C 0A1 Canada",['Parks'],4.5,53,,Parks,,
76,Hastings Park Racecourse,"Pacific National Exhibition, Vancouver, British Columbia V5K 3N8 Canada",['Horse Tracks'],4.0,72,,Horse Tracks,,
77,Playland,"2901 Hastings St E, Vancouver, British Columbia V5K 5J1 Canada",['Amusement & Theme Parks'],3.5,221,,Amusement & Theme Parks,,
78,UBC Rose Garden,"6301 Crescent Road, Vancouver, British Columbia V6T 1Z2 Canada",['Gardens'],4.0,29,,Gardens,,
79,HR MacMillan Space Centre,"1100 Chestnut St, Vancouver, British Columbia V6J 3J9 Canada","['Speciality Museums ', ' Science Museums ', ' Observatories & Planetariums']",3.0,208,,Speciality Museums , Science Museums , Observatories & Planetariums
80,Deeley Motorcycle Exhibition,"1875 Boundary Rd, Vancouver, British Columbia V5M 3Y7 Canada","['Speciality Museums ', ' History Museums']",4.5,86,,Speciality Museums , History Museums,
81,Parallel 49 Brewing Company,"1950 Triumph St Parallel 49 Brewing Company, Vancouver, British Columbia V5L 1K5 Canada",['Breweries'],4.5,63,,Breweries,,
82,Vogue Theatre,"918 Granville St, Vancouver, British Columbia V6Z 1L2 Canada",['Theatres'],3.5,44,,Theatres,,
83,Granville Street Mall/Granville Street,,['Points of Interest & Landmarks'],3.5,242,,Points of Interest & Landmarks,,
84,Beaty Biodiversity Museum,"2212 Main Mall, Vancouver, British Columbia V6T 1Z4 Canada",['Speciality Museums'],4.0,116,,Speciality Museums,,
85,BC Sports Hall of Fame,"777 Pacific Blvd BC Place, Vancouver, British Columbia V6B 4Y8 Canada",['Speciality Museums'],4.0,56,2,Speciality Museums,,
86,Lost Lagoon,,['Bodies of Water'],4.5,33,3,Bodies of Water,,
87,Burrard Bridge,,['Bridges'],4.0,70,,Bridges,,
88,Maple Tree Square,"107 Carrall St Gastown, Vancouver, British Columbia V6B 2H9 Canada",['Points of Interest & Landmarks'],4.0,38,,Points of Interest & Landmarks,,
89,Digital Orca,"1055 Canada Pl Jack Poole Plaza, Vancouver Convention Centre, Vancouver, British Columbia V6C 0C3 Canada","['Points of Interest & Landmarks ', ' Monuments & Statues']",4.0,110,,Points of Interest & Landmarks , Monuments & Statues,
90,Rio Theatre,"1660 Broadway E, Vancouver, British Columbia V5N 1W1 Canada",['Theatres'],4.5,21,,Theatres,,
91,The West End,,['Neighbourhoods'],4.0,35,,Neighbourhoods,,
92,Yaletown Brewing Company,"1111 Mainland St, Vancouver, British Columbia V6B 5P2 Canada",['Breweries'],4.0,140,,Breweries,,
93,Denman Street,,['Scenic Walking Areas'],4.0,105,,Scenic Walking Areas,,
94,Postmark Brewing,"Postmark Brewing 55 Dunlevy Ave, Vancouver, British Columbia V6A 3A3 Canada",['Breweries'],4.5,40,,Breweries,,
95,Hill's Native Art Gallery,"120 Broadway E, Vancouver, British Columbia V5T 1V9 Canada",['Art Galleries'],4.5,54,,Art Galleries,,
